cityid,year,citychn,city19,city_code,cityen,citytype,province,prvn_code,proven,prvntype
1,1990,石家庄市,石家庄市,130100,Shijiazhuang_bf92,Prefecture-level City,河北省,130000,Hebei,province
1,1991,石家庄市,石家庄市,130100,Shijiazhuang_bf92,Prefecture-level City,河北省,130000,Hebei,province
1,1992,石家庄市,石家庄市,130100,Shijiazhuang_bf92,Prefecture-level City,河北省,130000,Hebei,province
2,1993,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,1994,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,1995,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,1996,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,1997,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,1998,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,1999,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2000,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2001,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2002,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2003,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2004,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2005,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2006,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2007,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2008,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2009,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
2,2010,石家庄市,石家庄市,130100,Shijizhuang,Prefecture-level City,河北省,130000,Hebei,province
