"cityabbr","province","distance_to_harbor","nearest_port","lndis_to_harbor","distance_to_bharbor","nearest_bport","lndis_to_bharbor"
"上海","上海市","0","上海市",0,0,"上海市",0
"临沧","云南省","1122.57540901792","湛江市",13.931136966676442,1412678.1836851719,"广州市",14.160998589663544
"丽江","云南省","1174.55827944996","湛江市",13.976403553880617,1368119.867748721,"广州市",14.128948726879168
"保山","云南省","1223.35839456622","湛江市",14.017111234595856,1487614.9770405814,"广州市",14.212685381120968
"大理","云南省","1153.91559330253","湛江市",13.958672447270484,1389674.4808166076,"广州市",14.14458081081079
"德宏","云南省","1295.40256884378","湛江市",14.074332840740109,1574344.259690292,"广州市",14.269350035678142
"怒江","云南省","1317.8750113009","湛江市",14.091531916251354,1527779.4194305455,"广州市",14.239326533820952
"文山","云南省","630.277409962657","湛江市",13.353916921325222,900003.1912921034,"广州市",13.71015469928683
"昆明","云南省","884.24727969639","湛江市",13.692493161571225,1102799.8763808468,"广州市",13.913363752818483
"昭通","云南省","959.808861014788","湛江市",13.774490482384332,1069333.2799738604,"广州市",13.882546844562379
"普洱","云南省","999.927097260424","湛江市",13.815438652639573,1308792.9542666972,"广州市",14.084616625524946
"曲靖","云南省","815.912443126071","湛江市",13.612063553719533,1004982.7660772704,"广州市",13.820481946187904
"楚雄","云南省","997.35049859605","湛江市",13.812858543075462,1231866.1887453382,"广州市",14.02404161592155
"玉溪","云南省","884.782424802278","湛江市",13.693098176304256,1156936.2769741218,"广州市",13.961286792929398
"红河","云南省","778.398784673534","湛江市",13.564995533226883,1071376.8578442936,"广州市",13.88445609565234
"西双版纳","云南省","958.270723657946","湛江市",13.772886653121967,1301388.5178462586,"广州市",14.078943111489497
"迪庆","云南省","1325.1391589409","湛江市",14.097028792140868,1501215.919401481,"广州市",14.22178661676401
"乌兰察布","内蒙古自治区","489.242047107153","天津市",13.100614673828067,489242.0471071528,"天津市",13.100614673828067
"乌海","内蒙古自治区","897.327095177615","天津市",13.707176843592382,897327.0951776152,"天津市",13.707176843592382
"兴安","内蒙古自治区","620.70408192617","营口市",13.33861133977949,704305.0413497874,"秦皇岛市",13.464968258504163
"包头","内蒙古自治区","655.042763345735","天津市",13.392457326653712,655042.7633457351,"天津市",13.392457326653712
"呼伦贝尔","内蒙古自治区","1001.94956600763","营口市",13.817459224088193,1074238.0814631134,"秦皇岛市",13.887123137716019
"呼和浩特","内蒙古自治区","525.095736092624","天津市",13.17133778382416,525095.7360926243,"天津市",13.17133778382416
"巴彦淖尔","内蒙古自治区","859.198670660704","天津市",13.663756619427428,859198.6706607044,"天津市",13.663756619427428
"赤峰","内蒙古自治区","346.17026164591","秦皇岛市",12.75468890743495,346170.26164590946,"秦皇岛市",12.75468890743495
"通辽","内蒙古自治区","354.863375985811","营口市",12.77949095598529,459681.77469540236,"秦皇岛市",13.038291910340483
"鄂尔多斯","内蒙古自治区","749.000193831851","天津市",13.52649585639909,749000.1938318515,"天津市",13.52649585639909
"锡林郭勒","内蒙古自治区","549.846190130114","秦皇岛市",13.21739568247798,549846.1901301135,"秦皇岛市",13.21739568247798
"阿拉善","内蒙古自治区","1270.80688019831","天津市",14.055163382332704,1270806.8801983092,"天津市",14.055163382332704
"北京","北京市","125.332522088882","天津市",11.738733639731105,125332.52208888241,"天津市",11.738733639731105
"吉林","吉林省","497.688327389375","营口市",13.117731320753702,585698.8193534921,"大连市",13.280562683649435
"四平","吉林省","370.799485901229","营口市",12.823419423086218,479254.69161627424,"大连市",13.079989536927666
"延边","吉林省","631.478690183701","营口市",13.355821059026205,697589.3992567194,"大连市",13.45538738894883
"松原","吉林省","493.663604297951","营口市",13.109611626918712,606873.1853869766,"大连市",13.316076775719063
"白城","吉林省","523.170774492492","营口市",13.167665129834438,641431.9594011452,"大连市",13.371459951576922
"白山","吉林省","447.82837707673","营口市",13.012167584114094,506830.52102348907,"大连市",13.135933921673963
"辽源","吉林省","347.589478438432","营口市",12.758780279703698,440335.0150832505,"大连市",12.99529338509014
"通化","吉林省","340.117502677051","营口市",12.737049373152777,408592.18967719603,"大连市",12.920475293770064
"长春","吉林省","502.696643318662","营口市",13.127744161622456,606294.2139312656,"大连市",13.315122298133343
"乐山","四川省","1119.19727596559","湛江市",13.928123161915488,1188444.0584693837,"广州市",13.988156337090283
"内江","四川省","1086.93066117131","湛江市",13.898869294919368,1106500.4645280864,"广州市",13.91671376204045
"凉山","四川省","1112.89484361454","湛江市",13.92247604422055,1253672.476245807,"广州市",14.041588580499848
"南充","四川省","1133.03657647131","广州市",13.940412704924713,1133036.576471313,"广州市",13.940412704924713
"宜宾","四川省","1000.93822955379","湛江市",13.816449346717972,1061578.0393886764,"广州市",13.875268017446393
"巴中","四川省","1155.61853497611","广州市",13.960147152048947,1155618.5349761108,"广州市",13.960147152048947
"广元","四川省","1249.17822933","广州市",14.037997277075435,1249178.2293300016,"广州市",14.037997277075435
