main_port,link_text,link_href,region,code,country,port_type,chinese_name,english_name,port_code,country_english,latitude,longitude
True,chiwan,https://port.yunfei89.com/country45/cncwn.html,"赤湾,深圳",CNCWN,中国,中国港口,"赤湾,深圳",chiwan,CNCWN,China,22.480019,113.898851
True,chongqing,https://port.yunfei89.com/country45/cngqi.html,重庆,CNGQI,中国,东南亚线,重庆,chongqing,CNGQI,China,29.56301,106.551556
True,dachanwan,https://port.yunfei89.com/country45/cndcw.html,"大铲湾,深圳",CNDCW,中国,中国港口,"大铲湾,深圳",dachanwan,CNDCW,China,22.515177,113.869869
True,dalian,https://port.yunfei89.com/country45/cndal.html,大连,CNDAL,中国,中国港口,大连,dalian,CNDAL,China,38.914003,121.614682
True,fuqing,https://port.yunfei89.com/country45/cnfug.html,"福清,福州",CNFUG,中国,中国港口,"福清,福州",fuqing,CNFUG,China,25.423347,119.290955
True,fuzhou,https://port.yunfei89.com/country45/cnfuz.html,福州,CNFUZ,中国,中国港口,福州,fuzhou,CNFUZ,China,26.074508,119.296494
True,guangzhou,https://port.yunfei89.com/country45/cngua.html,广州,CNGUA,中国,中国港口,广州,guangzhou,CNGUA,China,23.12911,113.264385
True,huangpu,https://port.yunfei89.com/country45/cnhpu.html,"黄埔,广州",CNHPU,中国,中国港口,"黄埔,广州",huangpu,CNHPU,China,31.173431,121.39596
True,huangpu new port,https://port.yunfei89.com/country45/cnhpn.html,黄埔新港,CNHPN,中国,中国港口,黄埔新港,huangpu new port,CNHPN,China,31.196718,121.482483
True,huangpu old port,https://port.yunfei89.com/country45/cnhpo.html,黄埔旧港,CNHPO,中国,中国港口,黄埔旧港,huangpu old port,CNHPO,China,31.2159448,121.5077819
True,jiangmen,https://port.yunfei89.com/country45/cnjmn.html,江门,CNJMN,中国,中国港口,江门,jiangmen,CNJMN,China,22.579117,113.081508
True,"jiangyin,fuzhou",https://port.yunfei89.com/country45/cnjgy.html,"江阴,福州",CNJGY,中国,中国港口,"江阴,福州","jiangyin,fuzhou",CNJGY,China,25.423347,119.290955
True,lianyungang,https://port.yunfei89.com/country45/cnlyg.html,连云港,CNLYG,中国,东南亚线,连云港,lianyungang,CNLYG,China,34.765904,119.429225
True,nansha,https://port.yunfei89.com/country45/cnnsa.html,"南沙,广州",CNNSA,中国,中国港口,"南沙,广州",nansha,CNNSA,China,22.801624,113.525165
True,nansha new port,https://port.yunfei89.com/country45/cnnsn.html,南沙新港,CNNSN,中国,中国港口,南沙新港,nansha new port,CNNSN,China,23.0926529,113.3021346
True,ningbo,https://port.yunfei89.com/country45/cnnbo.html,宁波,CNNBO,中国,中国港口,宁波,ningbo,CNNBO,China,29.868336,121.54399
True,qingdao,https://port.yunfei89.com/country45/cnqin.html,青岛,CNQIN,中国,中国港口,青岛,qingdao,CNQIN,China,36.067108,120.382609
True,shanghai,https://port.yunfei89.com/country45/cnsha.html,上海,CNSHA,中国,中国港口,上海,shanghai,CNSHA,China,31.230416,121.473701
True,shantou,https://port.yunfei89.com/country45/cnsto.html,汕头,CNSTO,中国,中国港口,汕头,shantou,CNSTO,China,23.354091,116.681972
True,shekou,https://port.yunfei89.com/country45/cnshe.html,"蛇口,深圳",CNSHE,中国,中国港口,"蛇口,深圳",shekou,CNSHE,China,22.483182,113.916509
True,shenzhen,https://port.yunfei89.com/country45/cnszn.html,深圳,CNSZN,中国,中国港口,深圳,shenzhen,CNSZN,China,22.543096,114.057865
True,shunde,https://port.yunfei89.com/country45/cnsud.html,顺德,CNSUD,中国,中国港口,顺德,shunde,CNSUD,China,22.80524,113.293359
True,tianjin,https://port.yunfei89.com/country45/cntjn.html,天津(新港),CNTJN,中国,中国港口,天津(新港),tianjin,CNTJN,China,39.084158,117.200983
True,waigaoqiao,https://port.yunfei89.com/country45/cnwgq.html,"外高桥,上海",CNWGQ,中国,中国港口,"外高桥,上海",waigaoqiao,CNWGQ,China,31.332499,121.5863941
True,xiamen,https://port.yunfei89.com/country45/cnxia.html,厦门,CNXIA,中国,中国港口,厦门,xiamen,CNXIA,China,24.479834,118.089425
True,"xingang,tianjin",https://port.yunfei89.com/country45/cntxg.html,"新港,天津",CNTXG,中国,中国港口,"新港,天津","xingang,tianjin",CNTXG,China,38.983224,117.742809
True,yangshan,https://port.yunfei89.com/country45/cnyan.html,"洋山,上海",CNYAN,中国,中国港口,"洋山,上海",yangshan,CNYAN,China,24.466675,112.626495
True,yantian,https://port.yunfei89.com/country45/cnytn.html,"盐田,深圳",CNYTN,中国,中国港口,"盐田,深圳",yantian,CNYTN,China,22.556499,114.236875
True,zhongshan,https://port.yunfei89.com/country45/cnzsn.html,中山,CNZSN,中国,中国港口,中山,zhongshan,CNZSN,China,22.516999,113.392725
False,basuo port,https://port.yunfei89.com/country45/cnbas.html,八所港,CNBAS,中国,东南亚线,八所港,basuo port,CNBAS,China,19.120822,108.65433
False,bayuquan,https://port.yunfei89.com/country45/cnbyq.html,鲅鱼圈,CNBYQ,中国,东南亚线,鲅鱼圈,bayuquan,CNBYQ,China,40.230636,122.107814
False,beihai,https://port.yunfei89.com/country45/cnbbw.html,北海,CNBBW,中国,东南亚线,北海,beihai,CNBBW,China,21.481291,109.120161
False,"beijiao,shunde",https://port.yunfei89.com/country45/cnbjg.html,"北窖,顺德",CNBJG,中国,东南亚线,"北窖,顺德","beijiao,shunde",CNBJG,China,22.928305,113.207187
False,"boluo,huizhou",https://port.yunfei89.com/country45/cnblg.html,"博罗,惠州",CNBLG,中国,东南亚线,"博罗,惠州","boluo,huizhou",CNBLG,China,23.172771,114.289528
